                       STATION NAME                  DATE           PRCP      TMAX      TMIN
----------------- -------------------------------------------------- -------- -------- -------- -------- -------- -------- -------- -------- -------- 
                       BANKHEAD LOCK AND DAM AL      2018 03 01     0.15      46.76     41.54
                       BANKHEAD LOCK AND DAM AL      2018 03 02     0.45      46.94     39.92
                       BANKHEAD LOCK AND DAM AL      2018 03 03     0.00      46.94     37.94
                       BANKHEAD LOCK AND DAM AL      2018 03 04     0.00      46.76     37.94
                       BANKHEAD LOCK AND DAM AL      2018 03 05     0.00      43.70     38.48
                       BANKHEAD LOCK AND DAM AL      2018 03 06     1.36      43.88     38.66
                       BANKHEAD LOCK AND DAM AL      2018 03 07     0.41      41.72     38.12
                       BANKHEAD LOCK AND DAM AL      2018 03 08     0.00      41.18     37.22
                       BANKHEAD LOCK AND DAM AL      2018 03 09     0.00      41.36     37.22
                       BANKHEAD LOCK AND DAM AL      2018 03 10     0.00      43.34     37.40
                       BANKHEAD LOCK AND DAM AL      2018 03 11     0.89      44.60     40.46
                       BANKHEAD LOCK AND DAM AL      2018 03 12     0.10      44.60     38.12
                       BANKHEAD LOCK AND DAM AL      2018 03 13     0.00      42.44     37.94
                       BANKHEAD LOCK AND DAM AL      2018 03 14     0.00      42.26     37.58
                       BANKHEAD LOCK AND DAM AL      2018 03 15     0.00      41.90     38.12
                       BANKHEAD LOCK AND DAM AL      2018 03 16     0.00      44.24     38.12
                       BANKHEAD LOCK AND DAM AL      2018 03 17     0.15      43.52     40.28
                       BANKHEAD LOCK AND DAM AL      2018 03 18     0.00      46.04     42.44
                       BANKHEAD LOCK AND DAM AL      2018 03 19     0.17      44.78     42.44
                       BANKHEAD LOCK AND DAM AL      2018 03 20     0.04      45.68     41.72
                       BANKHEAD LOCK AND DAM AL      2018 03 22     0.00      43.16     38.12
                       BANKHEAD LOCK AND DAM AL      2018 03 23     0.00      44.24     38.66
                       BANKHEAD LOCK AND DAM AL      2018 03 24     0.00      45.86     39.56
                       BANKHEAD LOCK AND DAM AL      2018 03 25     0.01      45.68     41.90
                       BANKHEAD LOCK AND DAM AL      2018 03 26     0.00      45.86     40.82
                       BANKHEAD LOCK AND DAM AL      2018 03 27     0.00      41.72     40.28
                       BANKHEAD LOCK AND DAM AL      2018 03 28     0.00      44.42     40.28
                       BANKHEAD LOCK AND DAM AL      2018 03 29     0.00      44.96     41.72
                       BANKHEAD LOCK AND DAM AL      2018 03 30     0.85      44.42     41.36
                       BANKHEAD LOCK AND DAM AL      2018 03 31     0.00      45.32     39.20
