   Celsius          Fahrenheit            Kelvin
   12.3             54.14                    285.45
    5.5              41.9                    278.65
   15.6             60.08                    288.75
   21.2             70.16                    294.35
   16.8             62.24                    289.95
   19.7             67.46                    292.85
   22.3             72.14                    295.45
   19.6             67.28                    292.75
   14.8             58.64                    287.95
     22              71.6                    295.15
   21.5              70.7                    294.65
   17.6             63.68                    290.75
   16.3             61.34                    289.45
   18.7             65.66                    291.85
   19.4             66.92                    292.55
   12.8             55.04                    285.95
   11.2             52.16                    284.35
    8.9             48.02                    282.05
   17.5              63.5                    290.65
   19.2             66.56                    292.35
   11.6             52.88                    284.75
   23.4             74.12                    296.55
